iter	Passed	Remaining
0	174	17247
1	184	9045
2	197	6394
3	208	5001
4	215	4102
5	225	3533
6	235	3129
7	245	2826
8	255	2584
9	308	2772
10	317	2565
11	327	2404
12	334	2238
13	344	2115
14	354	2008
15	364	1913
16	374	1827
17	384	1753
18	394	1683
19	404	1619
20	415	1561
21	424	1506
22	434	1454
23	444	1406
24	453	1361
25	464	1320
26	474	1281
27	483	1243
28	493	1208
29	503	1174
30	510	1135
31	519	1104
32	529	1075
33	539	1047
34	549	1020
35	559	994
36	569	970
37	579	945
38	589	922
39	600	900
40	612	881
41	623	861
42	633	840
43	645	820
44	655	801
45	666	782
46	673	759
47	683	740
48	695	723
49	705	705
50	715	687
51	727	671
52	737	653
53	747	637
54	759	621
55	769	604
56	779	587
57	789	571
58	798	555
59	808	539
60	818	523
61	828	508
62	838	492
63	848	477
64	858	462
65	868	447
66	878	432
67	888	418
68	897	403
69	908	389
70	918	375
71	928	361
72	939	347
73	948	333
74	958	319
75	968	305
76	978	292
77	988	278
78	997	265
79	1007	251
80	1017	238
81	1027	225
82	1036	212
83	1047	199
84	1057	186
85	1068	173
86	1077	161
87	1088	148
88	1097	135
89	1108	123
90	1118	110
91	1127	98
92	1138	85
93	1148	73
94	1158	60
95	1168	48
96	1177	36
97	1187	24
98	1197	12
99	1208	0
